,page_link,product_name,item_no,description,style,material,type_class,color,rating
433,https://www.overstock.com/Home-Garden/Arshs-Fine-Rugs-Cristoba-Blue-Rust-Kilim-Upholstered-Handmade-Storage-Ottoman/22883497/product.html?refccid=AWDOQ2BSTR2J4NCCFPITUUXTFE&searchidx=433,Arshs Fine Rugs Cristoba Blue/Rust Kilim Upholstered Handmade Storage Ottoman,28459966,"Upgrade your kid's room or living room with this handmade ottoman. With enough storage space for several knick-knacks or blankets, this ottoman is upholstered with a hand-woven kilim wool rug that adds color and style.","Modern & Contemporary, Pouf, Southwestern","Foam, Wood, Wool","Standard Ottoman, Storage Cube, Storage Ottoman",Blue,0.0
434,https://www.overstock.com/Home-Garden/Four-Leaf-Outdoor-Indoor-Decorative-Cube-Pouf/9172529/product.html?refccid=AWDOQ2BSTR2J4NCCFPITUUXTFE&searchidx=434,Four Leaf Outdoor/ Indoor Decorative Cube Pouf,16348928,"This pouf is made of 100-percent polyester fabric & filled with micro polyester beads. This outdoor safe pouf will also add a colorful addition to your patio! Rain or Shine this pouf will stand the test of time, and Mother Nature.",Modern & Contemporary,Polyester,"Pouf, Standard Ottoman","Blue, Green, Red",4.5
435,https://www.overstock.com/Home-Garden/Handmade-Red-and-White-Fork-Ottoman-Pouf-USA/8458454/product.html?refccid=AWDOQ2BSTR2J4NCCFPITUUXTFE&searchidx=435,Handmade Red and White Fork Ottoman Pouf (USA),15750960,"Lend a splash of color to your living space with this fabulous ottoman. Made of 100-percent cotton, with a high-density foam fill, this versatile ottoman features a bright red and white geometric print, perfect as seating, footrest or accent table.",,Cotton,"Pouf, Standard Ottoman",Red,0.0
436,https://www.overstock.com/Home-Garden/Pouf-Ottoman-Light-Blue-CONRAD-20/22519570/product.html?refccid=AWDOQ2BSTR2J4NCCFPITUUXTFE&searchidx=436,Pouf Ottoman Light Blue CONRAD 20',28141711,"The pouf is a comfortable accent piece that will liven up your interior! It features thick, light blue yarn. A floor cushion applications are endless, it will sit an extra guest, you can rest your feet on it or use it as a storage place for papers or a coffee tray. It's lightweight and easily moveable. Thick weave of cotton is wear-resistant and low maintenance.Urban Knitting is a must-have now! This knitted pouf is a super trend addition to any contemporary interior! Details: Color: Light Blue. Main material: Cotton. Additional material: EPS Beads. Material Composition: 100% Cotton Assembly: Does Not Require Assembly Features: Fantastic Seating Comfort, First-Class Workmanship, Modern Design, Multifunctional, Crafted With Care and Precision",Bohemian & Eclectic,Cotton,"Foot Stool, Pouf",Blue,1.0
437,https://www.overstock.com/Home-Garden/Mugu-Art-Outdoor-Indoor-Decorative-Cube-Pouf/9172511/product.html?refccid=AWDOQ2BSTR2J4NCCFPITUUXTFE&searchidx=437,Mugu Art Outdoor/ Indoor Decorative Cube Pouf,16348916,"This pouf is made of 100-percent polyester fabric & filled with micro polyester beads. This outdoor safe pouf will also add a colorful addition to your patio! Rain or Shine this pouf will stand the test of time, and Mother Nature.",Modern & Contemporary,Polyester,"Foot Stool, Pouf, Standard Ottoman","Blue, Green, Red",0.0
438,https://www.overstock.com/Home-Garden/Offex-Barrington-Upholstered-Round-Ottoman-Pouf-In-Purple-Fabric/23038790/product.html?refccid=AWDOQ2BSTR2J4NCCFPITUUXTFE&searchidx=438,Offex Barrington Upholstered Round Ottoman Pouf In Purple Fabric,28597813,"This incredibly stylish pouf is the perfect piece of casual furniture for seating. The solid wood interior will hold up kids and adults alike. When you want to relax, prop your feet up and ease in your favorite chair. The versatility of a pouf is your all-in-one solution for seating, as a footrest and a table, so get yours today! Contemporary Style. Purple Fabric Upholstery. Taut Upholstery. CA117 Fire Retardant Foam. Black Bottom Dust Cover. Plastic Pin Gliders. Weight: 51 lbs. Overall Dimensions: 15.75""W x 15.75""D x 16.25""H",Modern & Contemporary,"Fabric, Foam, Plastic","Pouf, Standard Ottoman",Purple,0.0
439,https://www.overstock.com/Home-Garden/Offex-Avendale-Tufted-Upholstered-Ottoman-Pouf-in-Black-Fabric/22971148/product.html?refccid=AWDOQ2BSTR2J4NCCFPITUUXTFE&searchidx=439,Offex Avendale Tufted Upholstered Ottoman Pouf in Black Fabric,28537835,"Contemporary Style. Taut Tufted Upholstery. CA117 Fire Retardant Foam. Black Bottom Dust Cover. Plastic Round Feet. Weight: 8 lbs. Weight Capacity: 300 lbs. Dimensions: 16""W x 16""D x 15.75""H",Modern & Contemporary,"Fabric, Foam, Plastic","Pouf, Standard Ottoman",Black,0.0
440,https://www.overstock.com/Home-Garden/Offex-Ascalon-Contemporary-Upholstered-Ottoman-Pouf-in-Brown-Fabric/22971193/product.html?refccid=AWDOQ2BSTR2J4NCCFPITUUXTFE&searchidx=440,Offex Ascalon Contemporary Upholstered Ottoman Pouf in Brown Fabric,28537862,"Contemporary Style. Taut Upholstery. CA117 Fire Retardant Foam. Black Bottom Dust Cover. Wood Grain Plastic Feet. Weight: 9 lbs. Weight Capacity: 300 lbs. Dimensions: 16.5""W x 16.5""D x 16""H",Modern & Contemporary,"Fabric, Foam, Plastic","Pouf, Standard Ottoman",Brown,0.0
441,https://www.overstock.com/Home-Garden/Safavieh-Charles-Infiniti-Black-White-Pouf/19478835/product.html?refccid=AWDOQ2BSTR2J4NCCFPITUUXTFE&searchidx=441,Safavieh Charles Infiniti Black/ White Pouf,25476459,"The lush interiors in a resort in the heart of the Maldives inspired this bold contemporary pouf. Crafted with cotton and upholstered with a chic modern pattern, its versatility makes it an investment. Perfect for updating the living room or media room.",Modern & Contemporary,Fabric,"Pouf, Standard Ottoman","Black, White",0.0
442,https://www.overstock.com/Home-Garden/Square-Pouf-Coco-Stone/16287293/product.html?refccid=AWDOQ2BSTR2J4NCCFPITUUXTFE&searchidx=442,Square Pouf Coco Stone,22653852,"Our Pouf Square Ottomans are a great add on to any decor. They work as a foot rest or extra seating. They are filled with polyester fiber & recycled EPS filler. The ottomans are overstuffed for long lasting, maximum comfort & support. The cover of this piece is removable for easy care. Coco is a soft fabric with a burlap weave. Also available in a round shape.",Modern & Contemporary,"Acrylic, Polyester","Foot Stool, Pouf, Standard Ottoman","Beige, Cream, Tan",0.0
