,page_link,product_name,item_no,description,style,material,type_class,color,rating
30,https://www.overstock.com/Home-Garden/Skyline-Furniture-Velvet-Navy-Nail-Button-Storage-Ottoman/12853417/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=30,Skyline Furniture Velvet Navy Nail Button Storage Ottoman,19616572,Bring opulence into your living room with this vibrant blue storage ottoman from Skyline Furniture featuring a fashionable nail-button trim. Just lift the lid to to enjoy easily accessible extra storage for all your living room clutter.,"Traditional, Transitional",Fabric,"Foot Stool, Storage Cube, Storage Ottoman",Blue,5.0
31,https://www.overstock.com/Home-Garden/Cortesi-Home-Burnt-Orange-Bonded-Leather-Storage-Tray-Ottoman/11483133/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=31,Cortesi Home Burnt Orange Bonded Leather Storage Tray Ottoman,18437552,"Stylish and functional, this storage tray ottoman will transform your living space. The piece is upholstered in vibrant, burnt orange bonded leather. The plushly padded top lifts to reveal a convenient tray, perfect for resting your drinks and snacks. A useful storage compartment helps to keep your room organized. This attractive ottoman will make the perfect addition to your living room or den. ",Modern & Contemporary,Bonded Leather,"Cocktail Ottoman, Storage Cube, Storage Ottoman",Orange,4.9
32,https://www.overstock.com/Home-Garden/Majestic-Home-Goods-Ellie-Indoor-Ottoman-Pouf-Cube/11827788/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=32,Majestic Home Goods Ellie Indoor Ottoman Pouf Cube,18732683,"Add style and color to your living room or indoor seating arrangement with Majestic Home Goods Small Cube Ottoman. This cube is perfect for use as a footstool, side table or as extra seating for guests. Woven from Cotton twill that offers outstanding protection with 300/600 Waterproof Denier Base. The ottoman pouf cubes are eco-friendly filled with highly durable and comfortable polystyrene beads for long hours of sitting. Perfect convenient size for all indoor environments",Casual,Cotton,"Pouf, Standard Ottoman","Grey, Yellow",4.7
33,https://www.overstock.com/Home-Garden/Cape-Coral-Cushioned-Auminum-Ottoman-by-Christopher-Knight-Home/22846976/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=33,Cape Coral Cushioned Auminum Ottoman by Christopher Knight Home,28427875,"After a long day, there are few luxuries more enviable than a comfortable place to put one's feet up. Embrace the leisure of outdoor comfort with this chic ottoman. It features a fashionably-designed aluminum frame and a dense, posh cushion on top, both treated to resist the duress of the elements, making this selection a perfect addition to your already-existing poolside ensemble.",Modern & Contemporary,"Aluminum, Fabric",Storage Cube,Silver,0.0
34,https://www.overstock.com/Home-Garden/The-Curated-Nomad-Aptos-Moroccan-Flower-Leather-Pouf-Round-White-Embroidered-Ottoman-Morocco/22580945/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=34,The Curated Nomad Aptos Moroccan Flower Leather Pouf Round White Embroidered Ottoman (Morocco),22580945,"Offer a little decadence to your space with this quaint and sumptuous ottoman. The supreme, luxurious leather is hand stitched by artisans for a lovely, homespun feel you can enjoy for years to come.",,Leather,"Pouf, Standard Ottoman",White,4.6
35,https://www.overstock.com/Home-Garden/Clay-Alder-Home-Pope-Street-Amethyst-Purple-Linen-Table-Storage-Ottoman/20254724/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=35,Clay Alder Home Pope Street Amethyst Purple Linen Table Storage Ottoman,20254724,Relax and put your feet up on this multi-functional storage ottoman from Clay Alder. Flip the plush polyester top over and use the reverse side as a table top for drinks and snacks. This plum beauty also has storage space inside for extra blankets or board games.,"Traditional, Transitional","Linen, Polyester","Storage Cube, Storage Ottoman",Purple,4.4
36,https://www.overstock.com/Home-Garden/Herat-Oriental-Indo-Handmade-Wool-Jute-Pouf/10761296/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=36,Herat Oriental Indo Handmade Wool/ Jute Pouf,17813892,Update your home decor with a beautiful kilim-upholstered wool and jute poof footstool. Featuring a classic rust and light green pattern that will enhance your unique eclectic home decor. This handmade footstool is a unique piece of world art that will add that perfect decorative touch to any room.,Traditional,Fabric,"Foot Stool, Pouf","Green, Red, Tan",4.7
37,https://www.overstock.com/Home-Garden/WYNDENHALL-Malcolm-Woven-Cube-Pouf/19204561/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=37,WYNDENHALL Malcolm Woven Cube Pouf,25232354,"This versatile Malcolm Cube Pouf is the perfect piece for any room. Hand woven from wool and cotton, the unique pattern enhances any decor, and the cube shape provides enough room to use as an extra seat or just an extra place to prop up your feet.","Casual, Transitional","Cotton, Wool","Foot Stool, Pouf, Standard Ottoman",Multi,4.7
38,https://www.overstock.com/Home-Garden/ACME-Bali-Pouf-Ottoman-in-Multi-Color-Cotton/18828301/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=38,ACME Bali Pouf Ottoman in Multi-Color Cotton,24892735,"Add a stylish statement in your room with the Bali pouf ottoman. Well-suited for any home, the attractive design will add a touch of energetic and playful sense to any atmosphere. With intricate workmanship, it offers long-lasting durability and additional comfort. Perfect to be used as a foot stool, it could also be a seating alternative next to the coffee table. Practical and trendy, it will be an excellent accessory to any area.",Bohemian & Eclectic,Cotton,"Pouf, Standard Ottoman",Multi,0.0
39,https://www.overstock.com/Home-Garden/Porch-Den-Victoria-Park-Las-Olas-Black-Cube-Ottoman-Set-of-2/20543355/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=39,Porch & Den Victoria Park Las Olas Black Cube Ottoman (Set of 2),20543355,"Relax and kick up your feet with this pair of cube ottomans. The sleek cube shape, rich black faux-leather, and button tufting complement any decor with contemporary sophistication. The ottomans are hollow on the inside for easy movement and re-arrangement.",Modern & Contemporary,Faux Leather,Storage Cube,Black,4.5
